Id,Company Name,IPO Status,Valuation $B,Valuation $B num,Funding $M,T#Founded,T#Date joined,Country,Headquarter,Category,Description,Website,Source,Years to be Unicorn,Founders,Investors,Estimated revenue,Female founders,Funding rounds,Last funding type
139,Horizon Robotics,Private,3,1,700.6,2015-01-01,2019-02-27,China,"Beijing, Beijing, China",Artificial intelligence,Horizon Robotics develops artificial intelligence chips for robots.,https://www.horizon.ai/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Annie Tao, Chang Huang, Fang Yi, Kai Yu, Ming Yang","Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",$10M to $50M,Yes,7,Series B
140,Huike Group/ Huikedu Group,Private,1,4,302.2,2010-08-01,2018-05-24,China,"Beijing, Beijing, China",Edtech,Huikedu is a Beijing-based education provider which offers higher education and vocational education services and products,http://www.huikedu.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,-,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.",-,No,4,Series D
141,Huimin,Private,2,2,516.95,2013-05-01,2016-09-05,China,"Beijing, Beijing, China",E-commerce & direct-to-consumer,Huimin is a B2B e-commerce platform that focuses on small-scale supermarkets that provides community supermarket websites for communities.,http://www.huimin.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Zhang Yichun,"Zheshang Venture Capital, GP Capital, Western Capital Management",$100M to $500M,No,3,Series C
142,Ibotta,Private,1,3.5,85,2011-01-01,2019-08-06,United States,"Denver, Colorado, United States",Fintech,Ibotta is an application that pays its users for shopping online or in store.,http://ibotta.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,Bryan Leach,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital",$10M to $50M,No,6,Series D
143,iCarbonX,Private,1,1.6,200,2015-10-27,2016-04-12,China,"Shenzhen, Guangdong, China",Artificial intelligence,iCarbonX is a China-based artificial intelligence platform for health data company.,https://www.icarbonx.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",1,"Hao Li, Jun Wang, Yingrui Li","Tencent, Vcanbio",$10M to $50M,No,2,Series A
144,iFood,Private,1,1,591.86,2011-05-15,2018-11-13,Brazil,"Campina, Sao Paulo, Brazil","Supply chain, logistics, & delivery",IFood is an online food delivery portal that develops an innovative system so users can order deliveries on the internet with no hassle.,https://www.ifood.com.br/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Eduardo Baer, Felipe Ramos Fioravante, Gabriel Pinto, Guilherme Bonifacio, Patrick Sigrist","Movile, Just Eat, Naspers",$10M to $50M,No,7,Series G
145,Illumio,Private,1,1.05,332.5,2013-01-01,2014-04-14,United States,"Sunnyvale, California, United States",Cybersecurity,Illumio is a cloud security company that stops cyber threats of unauthorized communications through adaptive segmentation.,http://www.illumio.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,"Andrew Rubin, PJ Kirner","Data Collective, Formation 	  8, General Catalyst Partners",$50M to $100M,No,5,Series E
146,Impossible Foods,Private,4,13.8,1190,2011-01-01,2019-05-13,United States,"Redwood City, California, United States",Consumer & retail,"Impossible Foods is a company developing plant-based substitutes for meat, dairy, and fish products.",http://impossiblefoods.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Monte Casino, Patrick Brown","Khosla Ventures, Horizons Ventures, Temasek Holdings",$10M to $50M,No,10,Series F
147,Improbable,Private,2,1,604.09,2012-01-01,2017-05-12,United Kingdom,"London, England, United Kingdom",Other,Improbable is a games technology company based in the UK.,http://www.improbable.io,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Herman Narula, Peter Lipka, Rob Whitehead","Andreessen Horowitz, SoftBank Group, Temasek Holdings",Less than $1M,No,6,Corporate Round
148,Indigo Agriculture/ Indigo,Private,3.5,1.29,809,2014-01-01,2017-09-26,United States,"Cambridge, Massachusetts, United States",Artificial intelligence,Indigo harnesses nature to help farmers sustainably feed the planet.,http://www.indigoag.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"David Berry, Geoffrey von Maltzahn, Ignacio Martinez, Noubar Afeyan","Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",$100M to $500M,No,9,Debt Financing
149,Infinidat,Private,1.6,1,325,2011-01-01,2015-04-29,Israel,"Waltham, Massachusetts, United States",Hardware,Infinidat is a data storage software platform designed to  store and protect numerous petabytes of data.,http://www.infinidat.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Moshe Yanai,"TPG Growth, Goldman Sachs",$10M to $50M,No,4,Series D
150,Innovium,Private,1,1.5,352.81,2014-12-18,2020-07-21,United States,"San Jose, California, United States",Hardware,Innovium is a provider of networking solutions for data centers.,http://www.innovium.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Mohammad Issa, Puneet Agarwal, Rajiv Khemani","WRVI Capital, Qualcomm Ventures, S-Cubed Capital",$1M to $10M,No,10,Series F
151,Instabase,Private,1.05,1,131.97,2015-01-01,2019-10-21,United States,"San Francisco, California, United States",Data management & analytics,"Instabase provides a broad technology platform, and an app store for businesses applications.",https://about.instabase.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Anant Bhardwaj,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz",$1M to $10M,No,4,Series B
