Id,Company Name,IPO Status,Valuation_$B,Valuation_$B_num,Funding $M,Founded,Date_joined,Country,Headquarter,Category,Description,Website,Source,Years_to_be_Unicorn,Founders,Investors,Estimated_revenue,Female_founders,Funding_rounds,Last_funding_type
190,Next Insurance,Private,1,3.2,381,1/1/2016,10/7/2019,United States,"Palo Alto, California, United States",Fintech,Next Insurance is an online-based insurance company for entrepreneurs and small businesses.,https://www.next-insurance.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Alon Huri, Guy Goldstein, Nissim Tapiro","Zeev Ventures, Ribbit Capital, TLV Partners",$10M to $50M,No,4,Series C
191,Nextdoor,Private,2.1,1.33,455.2,1/1/2010,3/4/2015,United States,"San Francisco, California, United States",Internet software & services,"Nextdoor is the neighborhood hub for trusted connections and the exchange of helpful information, goods, and services.",http://nextdoor.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Adam Ginsburg, David Wiesen, Madison Bell, Nirav Tolia, Prakash Janakiraman, Sarah Leary","Benchmark Capital, DAG Ventures, Insight Venture Partners",$10M to $50M,Yes,9,Series F
192,Niantic,Private,4,2.9,470,1/1/2010,11/24/2017,United States,"San Francisco, California, United States",Mobile & telecommunications,Niantic builds augmented reality platform for current and future generations of AR hardware.,http://www.nianticlabs.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"John Hanke, Phil Keslin","Nintendo, Google, Pokemon Company International, Spark Capital",$10M to $50M,No,4,Series C
193,Northvolt,Private,1.57,1,2690,1/1/2016,6/12/2019,Sweden,"Stockholm, Stockholms Lan, Sweden",Other,"Northvolt develops sustainable lithium-ion batteries in conjunction with R&D, industrialization & recycling to support clean energy.",http://www.northvolt.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Paolo Cerruti, Peter Carlsson","Vattenfall, Volkswagen Group, Goldman Sachs",$1M to $10M,No,6,Debt Financing
194,Nubank,Private,10,1,1110,5/6/2013,3/1/2018,Brazil,"Ṣo Paulo, Sao Paulo, Brazil",Fintech,"Nubank issues, administrates, processes, and transfers payments related to post-paid credit cards and equity investment in other entities.",https://www.nubank.com.br,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Adam Edward Wible, Cristina Junqueira, David Velez","Sequoia Capital, Redpoint e.ventures, Kaszek Ventures",$100M to $500M,Yes,10,Series F
195,NuCom Group,Private,2.2,2,550,1/1/2018,2/22/2018,Germany,"Unterf̦hring, Bayern, Germany",Other,"NuCom provide a combination of content, commerce and operational excellence which drives the exceptional development of our portfolio.",https://www.nucom.group/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",1,-,General Atlantic,$500M to $1B,No,1,Private Equity
196,Nuro,Private,2.7,1.5,1030,1/1/2016,2/11/2019,United States,"Mountain View, California, United States",Auto & transportation,NURO is a technology company that aims to accelerate the benefits of robotics for everyday life.,https://nuro.ai/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Dave Ferguson, Jiajun Zhu","SoftBank Group, Greylock Partners, Gaorong Capital",$50M to $100M,No,3,Series B
197,Nxin (????)/ Nxin,Private,1,1,53.04,1/1/2015,9/18/2018,China,"Beijing, Beijing, China",Internet software & services,Nxin operates online agricultural platforms,http://www.nxin.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,-,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund",-,No,2,Series B
198,OakNorth,Private,2.8,3,1040,1/1/2015,10/12/2017,United Kingdom,"London, England, United Kingdom",Fintech,"The next-generation credit and monitoring platform that's redefining business borrowing to the ""Missing Middle""",https://www.oaknorth.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Joel Perlman, Rishi Khosla","Clermont Group, Coltrane Asset Management, Toscafund Asset Management",$10M to $50M,No,8,Venture - Series Unknown
199,OfferUp,Private,1.2,2,380.99,1/1/2011,9/8/2016,United States,"Bellevue, Washington, United States",Mobile & telecommunications,"OfferUp provides an online and mobile C2C marketplace app for people to buy and sell electronics, furniture, and cars.",https://offerup.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Arean van Veelen, Nick Huzar","Andreessen Horowitz, GGV Capital, T. Rowe Price",$50M to $100M,No,9,Venture - Series Unknown
200,Ola Cabs/ Ola,Private,6.32,2,3810,12/3/2010,10/27/2014,India,"Kormangala, Karnataka, India",Auto & transportation,Ola is a mobility platform and ride-hailing company based in India.,http://www.olacabs.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Ankit Bhati, Bhavish Aggarwal","Accel Partners, SoftBank Group, Sequoia Capital",$100M to $500M,No,25,Series J
201,Ola Electric Mobility/ Ola Electric,Private,1,2,307.34,5/26/2017,7/2/2019,India,"Bengaluru, Karnataka, India",Auto & transportation,Ola is a mobility platform and ride-hailing company based in India.,http://www.olaelectric.in/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Anand Shah, Ankit Jain","SoftBank Group, Tiger Global Management, Matrix Partners India",-,No,5,Series B
202,Omio,Private,1,1,296,3/1/2012,10/23/2018,Germany,"Berlin, Berlin, Germany",Travel,"Omio is a search tool that allows to find the fastest, cheapest and best travel options.",https://www.omio.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,Naren Shaam,"Lakestar, Battery Ventures, New Enterprise Associates",$1M to $10M,No,8,Series D
203,OneTrust,Private,2.7,1.2,410,1/1/2016,7/11/2019,United States,"Atlanta, Georgia, United States",Internet software & services,OneTrust is a privacy management and marketing compliance technology helping organizations comply with global regulations like GDPR.,http://www.onetrust.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Kabir Barday,Insight Partners,$50M to $100M,No,2,Series B
204,OpenDoor Labs/ Opendoor,Private,3.8,1,1480,1/1/2014,11/30/2016,United States,"San Francisco, California, United States",E-commerce & direct-to-consumer,Opendoor is an operator of an online real estate marketplace used to streamline the sales process of home buying and selling.,https://www.opendoor.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Eric Wu, Ian Wong, JD Ross, Keith Rabois","Norwest Venture Partners, New Enterprise Associates, Khosla Ventures",$10M to $50M,No,8,Series E
205,Orbbec Technology/ Orbbec,Private,1,1.2,200,1/1/2013,5/21/2018,China,"Shenzhen, Guangdong, China",Hardware,"The Orbbec mission is to create intelligent technologies for every human, everywhere through 3D image sensors and smart cameras.",http://www.orbbec3d.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Brad Long Liu, Huang Yuanhao, Joshua Blake, Luke Xiaolu Mei, Zhenzhong Xiao","R-Z Capital, Green Pine Capital Partners, SAIF Partners China",-,No,1,Series D
